index	startTime	endTime	posX	posY
1	0	0.0416667	401	66
2	0.0416667	0.0833333	401	66
3	0.0833333	0.125	427	0
4	0.125	0.166667	427	0
5	0.166667	0.208333	400	64
6	0.208333	0.25	400	64
7	0.25	0.291667	400	64
8	0.291667	0.333333	400	64
9	0.333333	0.375	399	64
10	0.375	0.416667	399	64
11	0.416667	0.458333	398	64
12	0.458333	0.5	398	64
13	0.5	0.541667	399	65
14	0.541667	0.583333	399	65
15	0.583333	0.625	400	66
16	0.625	0.666667	400	66
17	0.666667	0.708333	479	62
18	0.708333	0.75	479	62
19	0.75	0.791667	479	63
20	0.791667	0.833333	479	63
21	0.833333	0.875	379	6
22	0.875	0.916667	379	6
23	0.916667	0.958333	479	62
24	0.958333	1	479	62
25	1	1.04167	479	61
26	1.04167	1.08333	479	61
27	1.08333	1.125	479	61
28	1.125	1.16667	479	61
29	1.16667	1.20833	426	130
30	1.20833	1.25	378	6
31	1.25	1.29167	378	7
32	1.29167	1.33333	378	7
33	1.33333	1.375	429	128
34	1.375	1.41667	428	130
35	1.41667	1.45833	429	130
36	1.45833	1.5	428	130
37	1.5	1.54167	379	0
38	1.54167	1.58333	379	0
39	1.58333	1.625	379	0
40	1.625	1.66667	379	0
41	1.66667	1.70833	379	12
42	1.70833	1.75	379	12
43	1.75	1.79167	379	12
44	1.79167	1.83333	378	11
45	1.83333	1.875	378	11
46	1.875	1.91667	378	11
47	1.91667	1.95833	378	12
48	1.95833	2	378	12
49	2	2.04167	378	12
50	2.04167	2.08333	378	12
51	2.08333	2.125	378	12
52	2.125	2.16667	378	12
53	2.16667	2.20833	378	12
54	2.20833	2.25	378	12
55	2.25	2.29167	378	12
56	2.29167	2.33333	378	12
57	2.33333	2.375	378	12
58	2.375	2.41667	378	12
59	2.41667	2.45833	378	12
60	2.45833	2.5	378	12
61	2.5	2.54167	379	0
62	2.54167	2.58333	379	0
63	2.58333	2.625	378	0
64	2.625	2.66667	378	0
65	2.66667	2.70833	378	0
66	2.70833	2.75	378	0
67	2.75	2.79167	479	65
68	2.79167	2.83333	479	65
69	2.83333	2.875	479	65
70	2.875	2.91667	479	65
71	2.91667	2.95833	479	65
72	2.95833	3	479	65
73	3	3.04167	479	65
74	3.04167	3.08333	479	65
75	3.08333	3.125	479	65
76	3.125	3.16667	479	65
77	3.16667	3.20833	479	65
78	3.20833	3.25	479	65
79	3.25	3.29167	479	64
80	3.29167	3.33333	366	0
81	3.33333	3.375	366	0
82	3.375	3.41667	365	0
83	3.41667	3.45833	409	68
84	3.45833	3.5	364	0
85	3.5	3.54167	365	6
86	3.54167	3.58333	365	5
87	3.58333	3.625	408	65
88	3.625	3.66667	365	6
89	3.66667	3.70833	365	5
90	3.70833	3.75	365	0
91	3.75	3.79167	364	0
92	3.79167	3.83333	365	0
93	3.83333	3.875	365	0
94	3.875	3.91667	365	5
95	3.91667	3.95833	365	5
96	3.95833	4	365	0
97	4	4.04167	365	0
98	4.04167	4.08333	479	69
99	4.08333	4.125	479	69
100	4.125	4.16667	479	69
101	4.16667	4.20833	479	69
102	4.20833	4.25	479	69
103	4.25	4.29167	479	69
104	4.29167	4.33333	479	69
105	4.33333	4.375	479	69
106	4.375	4.41667	479	69
107	4.41667	4.45833	479	69
108	4.45833	4.5	479	69
109	4.5	4.54167	479	69
110	4.54167	4.58333	479	69
111	4.58333	4.625	479	69
112	4.625	4.66667	479	69
113	4.66667	4.70833	479	69
114	4.70833	4.75	479	69
115	4.75	4.79167	479	69
116	4.79167	4.83333	479	69
117	4.83333	4.875	479	69
118	4.875	4.91667	479	69
119	4.91667	4.95833	479	69
120	4.95833	5	364	0
121	5	5.04167	364	0
